CrashReportId,ReportNumber,CrashDate,CrashTime,TypeOfCollision,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberofVehicles,NumberOfLanes,Latitude,Longitude
922386,2025-00018789,2025-03-17,7:33:00 PM,Vehicle - Vehicle,,WESTMINSTER ST,DEXTER ST,Kelsa Heron,133,2025-03-17,"Two-Way , Not Divided",Wet,Dark - Lighted,Rain,Angle (Front - to - Side) Right Angle (Includes Broadside),"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.81659,-71.43134
922387,2025-00018810,2025-03-17,9:51:00 PM,Vehicle - Object,,CHALKSTONE AVENUE,CLAREMONT AVE,Atanael Lara,129,2025-03-17,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,1,,41.83277,-71.44906
922388,2025-00018798,2025-03-17,8:36:00 PM,Vehicle - Vehicle,,ALLENS AVE,OCONNELL ST,Matthew Carlone,602,2025-03-17,"Two-Way , Not Divided",Wet,Dark - Not Lighted,Clear,"Sideswipe, Same Direction",No,Traffic Control Signal,2,1,Complains Of Pain,2,,41.80821,-71.40369
922344,2025-00018540,2025-03-16,7:19:00 PM,Vehicle - Parked Vehicle,,UNIT ST,ATWELLS AVE,Jason Clancy,999,2025-03-17,Unknown,Wet,Dark - Unknown Lighting,Cloudy,Rear - to - Side,"Yes, M/V and Driver Left Scene",Unknown,3,0,Unknown,2,,41.8254,-71.45466
922376,2025-00018680,2025-03-16,9:21:00 PM,Vehicle - Vehicle,,ANGELL ST,BENEFIT ST,Jason Clancy,999,2025-03-17,One-Way Trafficway,Wet,Dark - Unknown Lighting,Cloudy,Rear End(Front-to-Rear),No,Unknown,3,0,Unknown,2,,41.82751,-71.40763
922369,2025-00018473,2025-03-16,3:45:00 PM,Vehicle - Vehicle,,PROMENADE ST,DEAN ST,Jason Clancy,999,2025-03-17,"Two-Way , Not Divided",Wet,Daylight,Cloudy,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",Unknown,2,0,Unknown,2,,41.82929,-71.42645
922397,2025-00018762,2025-03-16,4:10:00 PM,Vehicle - Vehicle,,ELMWOOD AVE,ADELAIDE AVE,Jason Clancy,999,2025-03-18,Unknown,Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Unknown,4,0,Unknown,2,,41.79589,-71.425
922300,2025-00018369,2025-03-16,3:32:00 AM,Vehicle - Vehicle,,elmwood ave,EXIT,Christian Salinas,628,2025-03-16,"Two-Way, Divided, Positive Median Barrier",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction",No,No Controls,2,1,Complains Of Pain,2,,41.78221,-71.41934
922302,2025-00018384,2025-03-16,6:42:00 AM,Vehicle - Vehicle,,Broadway Street,DE PASQUALE AVE,Mario Andrade,130,2025-03-16,"Two-Way, Divided, Positive Median Barrier",Wet,Dawn,"Fog, Smog, Smoke",Head-On (Front - to - Front),No,No Controls,3,0,No Injury,2,,41.82071,-71.42547
922303,2025-00018414,2025-03-16,11:48:00 AM,Vehicle - Parked Vehicle,,GANO ST,FREMONT ST,Raymond Criner,340,2025-03-16,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.82272,-71.38994
