CrashReportId,ReportNumber,CrashDate,CrashTime,TypeOfCollision,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberofVehicles,NumberOfLanes,Latitude,Longitude
925074,2025-00043386,2025-06-09,2:35:00 PM,Vehicle - Vehicle,,POTTERS AVE,,Jason Clancy,999,2025-06-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,"Yes, M/V and Driver Left Scene",Unknown,3,0,Unknown,2,,,
925070,2025-00043401,2025-06-09,4:30:00 PM,Vehicle - Parked Vehicle,,CORINTH ST,SAVINGS ST,Jason Clancy,999,2025-06-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.79409,-71.41197
925045,2025-00043243,2025-06-09,8:47:00 AM,Vehicle - Parked Vehicle,,HAMLIN ST,ELMWOOD AVE,Michelle Nunez,140,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.78072,-71.42016
925053,2025-00043235,2025-06-09,8:15:00 AM,Vehicle - Vehicle,,CANAL ST,MILL ST,Raleek Byfield,375,2025-06-09,One-Way Trafficway,Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,4,0,No Injury,2,,41.8323,-71.41095
925055,2025-00043278,2025-06-09,10:53:00 AM,Vehicle - Object,,ATWELLS AVE,SEARS AVE,Raleek Byfield,375,2025-06-09,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Non-Incapacitating,1,,41.82494,-71.44607
925056,2025-00043265,2025-06-09,10:19:00 AM,Vehicle - Vehicle,,CANONCHET ST,BOLTON AVE,Jason Dennis,392,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Stop Signs,4,0,No Injury,2,,41.83556,-71.45049
925060,2025-00043330,2025-06-09,2:54:00 PM,Vehicle - Vehicle,,DEAN ST EXIT,DEAN ST,Tyler Calandra,418,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,5,4,Complains Of Pain,2,,41.82456,-71.42576
925061,2025-00043351,2025-06-09,3:30:00 PM,Vehicle - Vehicle,,HOPE ST,BLACKSTONE BLVD,Tyler Calandra,418,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,2,,41.8567,-71.39122
925062,2025-00043362,2025-06-09,4:07:00 PM,Vehicle - Parked Vehicle,,FLORENCE ST,KOSSUTH ST,Peyton Ginolfi,657,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, Driver Left Scene",No Controls,1,0,Unknown,2,,41.82199,-71.44591
925063,2025-00043331,2025-06-09,2:50:00 PM,Vehicle - Parked Vehicle,,30 N.Main Street,Waterman Street,Kelsey Woodbine,633,2025-06-09,One-Way Trafficway,Dry,Daylight,Cloudy,Angle - Direction Not Specified,No,No Controls,2,0,No Injury,2,2,,
925064,2025-00043337,2025-06-09,3:00:00 PM,Vehicle - Parked Vehicle,,FRIENDSHIP ST,SOMERSET ST,Matthew Carlone,602,2025-06-09,One-Way Trafficway,Unknown,Unknown,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.81234,-71.41866
925058,2025-00043314,2025-06-09,1:34:00 PM,Vehicle - Parked Vehicle,,Cranston St,FORD ST,Manuel Vlaun,551,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,4,0,No Injury,2,,41.81008,-71.43299
925066,2025-00043423,2025-06-09,8:02:00 PM,Vehicle - Vehicle,,10 MEMORIAL BLVD,FRANCIS ST,Christian Main,145,2025-06-09,"Two-Way, Divided, Positive Median Barrier",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,4,0,No Injury,2,,,
925033,2025-00043180,2025-06-09,1:07:00 AM,Vehicle - Parked Vehicle,,ATWELLS AVE,DEAN ST,Irving Liriano,631,2025-06-09,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Rear - to - Rear,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.82338,-71.42415
925034,2025-00043182,2025-06-09,1:13:00 AM,Vehicle - Object,,CARTER ST,HUNTINGTON AVE,Christopher Fernandez,623,2025-06-09,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Head-On (Front - to - Front),No,No Controls,2,0,No Injury,1,,41.79988,-71.42921
925035,2025-00043190,2025-06-09,1:50:00 AM,Vehicle - Vehicle,,ATWELLS AVE,AMERICA ST,Irving Liriano,631,2025-06-09,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,2,,41.82369,-71.42827
925036,2025-00043184,2025-06-09,1:25:00 AM,Vehicle - Object,,S WATER ST,,Lucas Ramalho,507,2025-06-09,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,0,No Injury,1,,41.81889,-71.40212
925038,2025-00043200,2025-06-09,3:00:00 AM,Vehicle - Vehicle,,THURBERS AVE,EXIT,Alexandra Dzialo,616,2025-06-09,One-Way Trafficway,Dry,Dark - Lighted,Clear,Head-On (Front - to - Front),"Yes, Driver Left Scene",Unknown,3,1,Complains Of Pain,2,,41.80008,-71.40488
925040,2025-00043212,2025-06-09,5:16:00 AM,Vehicle - Vehicle,,BROAD ST,SERVICE ROAD 7,Mendez,675,2025-06-09,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,4,0,No Injury,2,,41.81736,-71.41696
925048,2025-00043237,2025-06-09,8:27:00 AM,Vehicle - Parked Vehicle,,Meeting Street,Hope Street,Martin Hames,536,2025-06-09,One-Way Trafficway,Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,Unknown,2,,,
925120,2025-00043023,2025-06-08,4:11:00 PM,Vehicle - Vehicle,,ALLENS AVE,CHAPMAN ST,Andrew Brodeur,158,2025-06-11,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,2,0,No Injury,2,2,,
925267,2025-00044191,2025-06-08,3:35:00 PM,Vehicle - Vehicle,,1190 Broad St,PAVILION AVE,Andrew Brodeur,158,2025-06-17,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,1,Complains Of Pain,2,2,,
925018,2025-00042934,2025-06-08,9:48:00 AM,Vehicle - Vehicle,,Hope,Power,Martin Hames,536,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,2,0,No Injury,2,,,
925029,2025-00043045,2025-06-08,5:26:00 PM,Vehicle - Vehicle,,POCASSET AVE,LOWELL AVE,Alexander Frias,669,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,3,0,No Injury,3,,41.80972,-71.4548
925014,2025-00042882,2025-06-08,2:48:00 AM,Vehicle - Parked Vehicle,,CLAVERICK ST,BROAD ST,Shaolin Herr,556,2025-06-08,One-Way Trafficway,Dry,Dark - Lighted,Cloudy,Other,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.81897,-71.41436
925020,2025-00042967,2025-06-08,12:40:00 PM,Vehicle - Vehicle,,BROAD ST,BROAD ST,Ptlm. Castagliuolo,351,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Angle (Front - to - Side) Opposite Direction,No,Pavement Markings,3,1,Complains Of Pain,2,,41.80951,-71.42094
925021,2025-00042693,2025-06-08,4:24:00 PM,Vehicle - Parked Vehicle,,SESSIONS STREET,ELMGROVE AVE,Ricardo Sanchez,632,2025-06-08,"Two-Way , Not Divided",Wet,Daylight,Rain,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,2,2,41.84131,-71.3923
925022,2025-00042990,2025-06-08,2:16:00 PM,Vehicle - Parked Vehicle,,sutton street,FEDERAL ST,Brad McParlin,395,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,2,,41.82117,-71.42787
925025,2025-00043049,2025-06-08,5:38:00 PM,Vehicle - Vehicle,,STATE HWY 10,CRANSTON ST,Raymond Criner,340,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),"Yes, M/V and Driver Left Scene",Traffic Control Signal,3,2,Complains Of Pain,2,,41.8038,-71.43917
925026,2025-00043055,2025-06-08,6:02:00 PM,Vehicle - Parked Vehicle,,WASHINGTON AVE,VIRGINIA AVE,Raymond Criner,340,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,2,Complains Of Pain,2,,41.78817,-71.39572
925067,2025-00043056,2025-06-08,5:50:00 PM,Vehicle - Vehicle,,BROAD ST,BROAD ST,Jose Cortorreal,604,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,4,0,No Injury,2,,41.79954,-71.41633
925075,2025-00043304,2025-06-08,3:15:00 PM,Vehicle - Vehicle,,BRIDGHAM ST,BROAD ST,Jason Clancy,999,2025-06-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Unknown,3,0,Unknown,2,,41.81272,-71.42204
925309,2025-00042723,2025-06-07,6:26:00 PM,Vehicle - Vehicle,,OAK ST,MESSER ST,Mendez,675,2025-06-19,"Two-Way , Not Divided",Wet,Daylight,Rain,Head-On (Front - to - Front),No,No Controls,2,0,No Injury,2,,41.81496,-71.43677
925310,2025-00042769,2025-06-07,9:40:00 PM,Vehicle - Vehicle,,westminster st,CAHIR ST,Hannabeth Mendez,675,2025-06-19,"Two-Way , Not Divided",Wet,Dark - Lighted,Clear,Angle (Front - to - Side) Opposite Direction,No,No Controls,4,0,No Injury,2,,41.81822,-71.42018
925073,2025-00043353,2025-06-07,5:03:00 PM,Vehicle - Vehicle,,CRANSTON ST,HUNTINGTON AVE,Jason Clancy,999,2025-06-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Unknown,2,0,Unknown,2,,41.80381,-71.43916
925091,2025-00042758,2025-06-07,9:00:00 PM,Vehicle - Vehicle,,WESTMINSTER ST EXIT,WESTMINSTER ST,Kelsa Heron,133,2025-06-10,"Two-Way , Not Divided",Wet,Dark - Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,2,0,No Injury,2,,41.81576,-71.43865
925059,2025-00043316,2025-06-07,9:30:00 AM,Vehicle - Parked Vehicle,,WICKENDEN ST,THOMPSON ST,Quincy Griffin,970,2025-06-09,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.81955,-71.39705
925046,2025-00042644,2025-06-07,12:08:00 PM,Vehicle - Parked Vehicle,,WASHINGTON ST,MATHEWSON ST,Quincy Griffin,970,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,3,0,Unknown,2,,41.82302,-71.41484
925047,2025-00042543,2025-06-07,12:10:00 AM,Vehicle - Object,,262 CHARLES ST,CHARLES ST,Quincy Griffin,970,2025-06-09,Unknown,Dry,Dark - Lighted,Clear,Rear - to - Side,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,1,,,
925024,2025-00042701,2025-06-07,4:49:00 PM,Vehicle - Vehicle,,ANGELL ST,ANGELL CT,Luis Pelaez,336,2025-06-08,One-Way Trafficway,Wet,Daylight,Rain,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,3,0,No Injury,2,,41.82974,-71.39015
925027,2025-00042765,2025-06-07,9:19:00 PM,Vehicle - Vehicle,,ELMWOOD AVE,WHITMARSH ST,Alexander Frias,669,2025-06-08,"Two-Way , Not Divided",Wet,Dark - Lighted,Cloudy,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.80586,-71.42509
925015,2025-00042787,2025-06-07,10:56:00 PM,Vehicle - Vehicle,,498UNION AVE,POCASSET AVE,M. Suarez,689,2025-06-08,"Two-Way, Divided, Positive Median Barrier",Dry,Dark - Lighted,Clear,Rear End(Front-to-Rear),No,No Controls,5,0,No Injury,2,,41.80637,-71.45618
925016,2025-00042652,2025-06-07,1:37:00 PM,Vehicle - Vehicle,,BABCOCK ST,BERNARD ST,Victor Tavarez,564,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,3,1,Complains Of Pain,2,,41.78953,-71.40717
925002,2025-00042553,2025-06-07,1:33:00 AM,Vehicle - Vehicle,,68 Manton Ave,,Pedroangel Pena Campusano,677,2025-06-07,Unknown,Dry,Daylight,Clear,Rear - to - Rear,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,,
925019,2025-00042607,2025-06-07,7:00:00 AM,Vehicle - Object,,UNIT ST,CHALKSTONE AVE,Elizabeth Pedchenko,498,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,1,0,No Injury,1,,41.83183,-71.45467
925037,2025-00042549,2025-06-07,1:30:00 AM,Vehicle - Vehicle,,SAYLES ST,CROYLAND RD,Hannabeth Mendez,675,2025-06-09,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,5,0,No Injury,2,,41.80247,-71.4143
925049,2025-00042757,2025-06-07,6:54:00 PM,Vehicle - Parked Vehicle,,401 RESERVOIR AVE,RESERVOIR AVE,Quincy Griffin,970,2025-06-09,Unknown,Dry,Daylight,Clear,Rear - to - Side,No,No Controls,2,0,Unknown,2,,,
925043,2025-00042755,2025-06-07,2:30:00 AM,Vehicle - Object,,POMONA AVE,CARLETON ST,Quincy Griffin,970,2025-06-09,"Two-Way , Not Divided",Dry,Dark - Unknown Lighting,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,1,,41.82825,-71.44728
925044,2025-00042682,2025-06-07,12:50:00 PM,Vehicle - Vehicle,,GANO ST,E GEORGE ST,Quincy Griffin,970,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,"Yes, M/V and Driver Left Scene",Unknown,2,0,Unknown,2,,41.82595,-71.39042
925004,2025-00042639,2025-06-07,12:20:00 PM,Vehicle - Vehicle,,WESTMINISTER/ RT10,,Karen Milian,673,2025-06-07,One-Way Trafficway,Dry,Daylight,Cloudy,Angle (Front - to - Side) Opposite Direction,No,Traffic Control Signal,2,0,No Injury,2,,,
925005,2025-00042643,2025-06-07,12:16:00 PM,Vehicle - Parked Vehicle,,KILLINGLY ST,HARTFORD AVE,Michelle Nunez,140,2025-06-07,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.81998,-71.46893
925006,2025-00042648,2025-06-07,12:55:00 PM,Vehicle - Vehicle,,UNION AVE,WEBSTER AVE,Ptlm. Castagliuolo,351,2025-06-07,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Rear - to - Rear,No,No Controls,3,0,No Injury,2,,41.80679,-71.44769
925007,2025-00042667,2025-06-07,2:56:00 PM,Vehicle - Vehicle,,CHALKSTONE AVE,FALLON AVE,Arthur Lima,126,2025-06-07,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,6,1,Complains Of Pain,3,,41.83235,-71.44366
925008,2025-00042735,2025-06-07,7:25:00 PM,Vehicle - Vehicle,,HUNTINGTON AVE,PLYMOUTH ST,Alexander Frias,669,2025-06-07,"Two-Way, Divided, Positive Median Barrier",Wet,Dusk,Cloudy,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.80291,-71.43747
925009,2025-00042783,2025-06-07,10:38:00 PM,Vehicle - Parked Vehicle,,DE PASQUALE AVE,FEDERAL ST,Tyler Cargill,619,2025-06-07,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,2,,41.82239,-71.42615
925010,2025-00042782,2025-06-07,10:21:00 PM,Vehicle - Parked Vehicle,,BOWDOIN ST,AUDREY ST,Brandon Macedo,177,2025-06-07,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Same Direction,"Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,2,,41.82046,-71.44344
925011,2025-00042816,2025-06-07,11:44:00 PM,Vehicle - Object,,INDIA ST,TOCKWOTTON ST,Lane,109,2025-06-08,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,0,No Injury,1,,41.81654,-71.40089
925286,2025-00046022,2025-06-06,1:56:00 PM,Vehicle - Pedestrian,Pedestrian,MORRIS AVE,OLNEY ST,Jason Clancy,999,2025-06-18,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Unknown,1,1,Complains Of Pain,1,,41.83593,-71.39803
925175,2025-00044272,2025-06-06,4:30:00 PM,Vehicle - Vehicle,,VALLEY ST,,Jason Clancy,999,2025-06-13,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Unknown,3,0,Unknown,2,,,
925949,2025-00042320,2025-06-06,2:12:00 PM,Vehicle - Vehicle,,broadway,ALMY ST,Brad McParlin,395,2025-07-11,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,2,0,No Injury,2,,41.81896,-71.43294
924972,2025-00042269,2025-06-06,8:40:00 AM,Vehicle - Vehicle,,CRANSTON ST,,Jason Clancy,999,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,No,Unknown,3,0,Unknown,2,,41.80832,-71.43454
924973,2025-00042239,2025-06-06,8:14:00 AM,Vehicle - Vehicle,,CHARLES ST,CORLISS ST,John Benros,481,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Stop Signs,2,0,No Injury,2,,41.83806,-71.41452
924990,2025-00042380,2025-06-06,5:49:00 PM,Vehicle - Vehicle,,HAWKINS ST,SALINA ST,Tyler Calandra,418,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,No,No Controls,4,4,Complains Of Pain,2,,41.84822,-71.42616
924994,2025-00042385,2025-06-06,5:35:00 PM,Vehicle - Vehicle,,WESTMINSTER ST,SERVICE ROAD 7,Raymond Criner,340,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",Traffic Control Signal,1,1,Complains Of Pain,2,,41.81881,-71.41883
924995,2025-00042405,2025-06-06,6:40:00 PM,Vehicle - Vehicle,,Branch/Burleigh,,Mark Roman,120,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,,
924996,2025-00042350,2025-06-06,3:48:00 PM,Vehicle - Vehicle,,BRANCH AVE,LANGDON ST,Ruben Morales,685,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction",No,No Controls,3,0,No Injury,2,,41.85217,-71.42438
924963,2025-00042231,2025-06-06,7:31:00 AM,Vehicle - Vehicle,,LAUREL HILL AVE,PLAINFIELD ST,Damaris Sanchez,566,2025-06-06,One-Way Trafficway,Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Traffic Control Signal,9,0,No Injury,2,,41.81299,-71.4553
924965,2025-00042237,2025-06-06,8:02:00 AM,Vehicle - Vehicle,,CRANSTON ST,POTTERS AVE,Matthew LeClerc,180,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,3,0,No Injury,2,2,41.80505,-71.43778
924967,2025-00042253,2025-06-06,8:56:00 AM,Vehicle - Vehicle,,35  MASSIE AVE,BAXTER ST,Luis Garcia Colon,128,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,2,,41.80124,-71.41684
924969,2025-00042255,2025-06-06,9:06:00 AM,Vehicle - Vehicle,,ONTARIO ST,ELMWOOD AVE,Igor Barbosa,114,2025-06-06,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Cloudy,Head-On (Front - to - Front),"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.79786,-71.42598
924970,2025-00042245,2025-06-06,8:00:00 AM,Vehicle - Parked Vehicle,,CHALKSTONE AVE,EVANS ST,Ryan Anderson,107,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear - to - Side,No,No Controls,2,0,Unknown,2,,41.83652,-71.41816
924975,2025-00042244,2025-06-06,8:17:00 AM,Vehicle - Vehicle,,SILVER SPRING ST,BISMARK ST,John Benros,481,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,2,,41.85435,-71.41208
924976,2025-00042233,2025-06-06,7:47:00 AM,Vehicle - Parked Vehicle,,274 Hartford Ave,HARTFORD AVE,Southavout Im,382,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),"Yes, M/V and Driver Left Scene",Unknown,1,0,Unknown,2,,41.81758,-71.45314
924977,2025-00042296,2025-06-06,12:08:00 PM,Vehicle - Vehicle,,504 killingly st,,Pedroangel Pena Campusano,677,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,0,No Injury,2,,,
924979,2025-00042312,2025-06-06,1:38:00 PM,Vehicle - Vehicle,,DEXTER ST,DABOLL ST,Matthew LeClerc,180,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,5,0,No Injury,2,2,41.80402,-71.43017
924981,2025-00042273,2025-06-06,10:38:00 AM,Vehicle - Pedestrian,Pedestrian,HOPE ST,10TH ST,Gabrielle O'Loughlin,680,2025-06-06,"Two-Way , Not Divided",Dry,Dawn,Clear,Rear End(Front-to-Rear),"Yes, M/V and Driver Left Scene",No Controls,3,0,No Injury,2,,41.85452,-71.39232
924983,2025-00042314,2025-06-06,1:42:00 PM,Vehicle - Vehicle,,THURBERS AVE EXIT 18,THURBERS AVE,Raleek Byfield,375,2025-06-06,One-Way Trafficway,Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Yield Signs,3,0,No Injury,2,,41.80054,-71.40335
924984,2025-00042346,2025-06-06,3:19:00 PM,Vehicle - Vehicle,,LEDGE ST,PETER ST,Ian Quinn,102,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,2,41.85313,-71.42035
924985,2025-00042318,2025-06-06,2:03:00 PM,Vehicle - Vehicle,,SILVER SPRING ST,NORTHUP AVE,Raleek Byfield,375,2025-06-06,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Flashing Traffic Control Signal,6,2,Complains Of Pain,3,,41.85194,-71.41297
924986,2025-00042358,2025-06-06,4:12:00 PM,Vehicle - Vehicle,,CHARLES STREET,ORMS ST,Manuel Tueros,621,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,No,Traffic Control Signal,5,0,No Injury,2,,41.83488,-71.41146
924987,2025-00042364,2025-06-06,4:42:00 PM,Vehicle - Vehicle,,DEAN ST,ATWELLS AVE,Hildenise Espanol,137,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Traffic Control Signal,4,0,No Injury,2,,41.82337,-71.42419
924988,2025-00042337,2025-06-06,3:17:00 PM,Vehicle - Vehicle,,6 melissa st,BARDEN ST,Brendan O'Brien,667,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,No Controls,4,0,No Injury,2,,41.81935,-71.46053
925050,2025-00042367,2025-06-06,4:10:00 PM,Vehicle - Parked Vehicle,,301 UNION AVE,UNION AVE,Quincy Griffin,970,2025-06-09,Unknown,Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,3,0,Unknown,2,,,
925030,2025-00042400,2025-06-06,5:39:00 PM,Vehicle - Pedestrian,Pedestrian,GENERAL ST,PHEBE ST,Ruben Morales,685,2025-06-08,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),"Yes, M/V and Driver Left Scene",Stop Signs,2,0,Unknown,2,,41.85353,-71.44186
925003,2025-00042264,2025-06-06,9:17:00 AM,Vehicle - Vehicle,,274 POINT STREET,PLAIN STREET,Flavio Tavares,371,2025-06-07,One-Way Trafficway,Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Traffic Control Signal,1,0,No Injury,2,,,
924998,2025-00042369,2025-06-06,4:45:00 PM,Vehicle - Vehicle,,BRANCH AVE,OPPER ST,Ruben Morales,685,2025-06-06,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,Stop Signs,2,0,No Injury,2,,41.85173,-71.42336
925017,2025-00042279,2025-06-06,10:58:00 AM,Vehicle - Vehicle,,626 BROAD STREET,PEACE STREET,Flavio Tavares,371,2025-06-08,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,0,No Injury,2,,,
925052,2025-00042319,2025-06-06,2:11:00 PM,Vehicle - Vehicle,,CROMWELL STREET,BUCKLIN ST,Hildenise Espanol,137,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction",No,No Controls,4,0,No Injury,2,,41.80903,-71.42762
925054,2025-00042230,2025-06-06,7:25:00 AM,Vehicle - Vehicle,,BROADWAY,EMPIRE ST.,Lucio Andreozzi,381,2025-06-09,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,Traffic Control Signal,3,0,No Injury,2,3,41.82248,-71.41732
925065,2025-00042347,2025-06-06,3:43:00 PM,Vehicle - Vehicle,,POWER ST,IVES ST,Jared Guiot,608,2025-06-09,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,"Yes, M/V and Driver Left Scene",No Controls,1,0,No Injury,2,,41.82367,-71.39233
