row_number	crash_date	crash_report_id	crash_time	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
480	2025-11-12	929938	20:46:00	Pedestrian	BROAD ST	THURBERS AVE	2025-11-12	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	0	No Injury	NA	41.7982	-71.41467	1	NA	FALSE	FALSE	1	FALSE	FALSE	Broad Street and Thurbers Ave, Providence, RI, USA	FALSE	-71.414661	41.7982144	intersection	geometric_center	thurbers ave & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.7982144	-71.414661	1.7684635252238012
481	2025-11-12	929939	16:00:00	Pedestrian	Broad st	Cahir St	2025-11-12	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Stop Signs	2	1	Complains Of Pain	NA	NA	NA	1	NA	FALSE	FALSE	1	FALSE	FALSE	Broad Street and Cahir Street, Providence, RI, USA	FALSE	-71.4178933	41.8169555	intersection	geometric_center	broad st & cahir st, providence, ri 02903, usa	NA	NA	NA	NA	41.8169555	-71.4178933	NA
482	2025-11-13	930044	23:30:00	Pedestrian	WHIPPLE ST	ADMIRAL ST	2025-11-17	Two-Way , Not Divided	Dry	Dark - Unknown Lighting	Clear	Unknown	Yes, M/V and Driver Left Scene	Unknown	2	1	Complains Of Pain	NA	41.84065	-71.41897	1	NA	FALSE	FALSE	1	FALSE	FALSE	Whipple Street and Admiral Street, Providence, RI, USA	FALSE	-71.41898359999999	41.8406561	intersection	geometric_center	admiral st & whipple st, providence, ri 02908, usa	NA	NA	NA	NA	41.8406561	-71.41898359999999	1.3165299226263296
483	2025-11-14	929980	05:59:00	Pedestrian	DUDLEY ST	PRAIRIE AVE	2025-11-14	Two-Way , Not Divided	Dry	Daylight	Clear	Unknown	Yes, M/V and Driver Left Scene	Unknown	1	0	Unknown	NA	41.80996	-71.41568	1	NA	FALSE	FALSE	1	FALSE	FALSE	Dudley Street and Prairie Ave, Providence, RI, USA	FALSE	-71.4156686	41.8099717	intersection	geometric_center	dudley st & prairie ave, providence, ri 02905, usa	NA	NA	NA	NA	41.8099717	-71.4156686	1.609676706842917
485	2025-11-14	929991	18:36:00	Pedestrian	CANAL ST	WASHINGTON ST	2025-11-14	Two-Way , Not Divided	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	3	2	Complains Of Pain	NA	41.8267	-71.40953	1	NA	FALSE	FALSE	1	FALSE	FALSE	Canal Street and Washington Street, Providence, RI, USA	FALSE	-74.0018897	40.7194023	route	geometric_center	canal st, new york, ny, usa	NA	NA	NA	NA	40.7194023	-74.0018897	249452.75492661633
488	2025-11-16	930068	09:45:00	Pedestrian	N MAIN ST	DOYLE AVE	2025-11-17	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Other	No	Unknown	1	1	Complains Of Pain	NA	41.83834	-71.40923	1	NA	FALSE	FALSE	1	FALSE	FALSE	N Main Street and Doyle Ave, Providence, RI, USA	FALSE	-71.4092347	41.8383506	intersection	geometric_center	n main st & doyle ave, providence, ri 02906, usa	NA	NA	NA	NA	41.8383506	-71.4092347	1.2427039142238951
490	2025-11-16	930696	15:37:00	Bicycle	BROADWAY	VALLEY ST	2025-12-07	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dusk	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	0	No Injury	NA	41.81684	-71.441	NA	1	FALSE	FALSE	1	FALSE	FALSE	Broadway and Valley Street, Providence, RI, USA	FALSE	-71.4410135	41.8168365	intersection	geometric_center	valley st & broadway, providence, ri 02909, usa	NA	NA	NA	NA	41.8168365	-71.4410135	1.1858498000355406
491	2025-11-18	930113	19:40:00	Pedestrian	GENTIAN AVE	LOTUS PL	2025-11-18	Two-Way , Not Divided	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Other	2	1	Complains Of Pain	NA	41.84864	-71.45044	1	NA	FALSE	FALSE	1	FALSE	FALSE	Gentian Ave and Lotus Pl, Providence, RI, USA	FALSE	-71.4504195	41.8486612	intersection	geometric_center	lotus pl & gentian ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8486612	-71.4504195	2.90847124440453
492	2025-11-18	930116	17:15:00	Pedestrian	S MAIN ST	S MAIN ST	2025-11-18	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82368	-71.40634	1	NA	FALSE	FALSE	1	FALSE	FALSE	S Main Street and S Main Street, Providence, RI, USA	FALSE	-71.54917019999999	41.7386025	intersection	geometric_center	main st & s main st, cranston, ri, usa	NA	NA	NA	NA	41.7386025	-71.54917019999999	15174.641682969897
495	2025-11-19	930164	19:00:00	Bicycle	College Rd	NA	2025-11-19	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Non-Incapacitating	NA	NA	NA	NA	1	FALSE	FALSE	1	FALSE	TRUE	College Rd, Providence, RI, USA	FALSE	-71.4410431	41.8438416	route	geometric_center	college rd, providence, ri 02908, usa	NA	NA	NA	NA	41.8438416	-71.4410431	NA
