row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	api_coord_conf	distance_btwn_coords_meters	best_coordinate_set	correct_coordinates	corrected_lat	corrected_lon	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon
3372	2011-07-26	82968	13:35:00	Pedestrian	1	NA	FALSE	TRUE	2	PLAIN ST	OLDHAM ST	7/26/11	Unknown	Dry	Daylight	Clear	Other	No	No Controls	5	2	Complains Of Pain	NA	41.81281	-71.41214	FALSE	FALSE	Plain Street and Oldham Street, Providence, RI, USA	FALSE	-71.4122769	41.8132938	intersection	geometric_center	oldham st & plain st, providence, ri 02903, usa	NA	NA	NA	NA	41.8132938	-71.4122769	Med High	55.04110646	NA	NA	NA	NA	FALSE	FALSE	Raw	41.81281	-71.41214
3371	2011-07-27	83161	17:21:00	Bicycle	NA	1	FALSE	FALSE	1	SORRENTO ST	LINWOOD AVE	7/27/11	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	3	1	Complains Of Pain	2	41.80786	-71.43737	FALSE	FALSE	Sorrento Street and Linwood Ave, Providence, RI, USA	FALSE	-71.4373713	41.807869	intersection	geometric_center	sorrento st & linwood ave, providence, ri 02909, usa	NA	NA	NA	NA	41.807869	-71.4373713	Med High	1.007665609	NA	NA	NA	NA	FALSE	FALSE	Raw	41.80786	-71.43737
3370	2011-07-29	83480	12:50:00	Pedestrian	1	NA	FALSE	FALSE	1	Tell Street	Courtland Street	7/29/11	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Incapacitating	1	41.82188	-71.43251	FALSE	FALSE	Tell Street and Courtland Street, Providence, RI, USA	FALSE	-71.4323001	41.8219436	intersection	geometric_center	tell st & courtland st, providence, ri 02909, usa	NA	NA	NA	NA	41.8219436	-71.4323001	Med High	18.7971027	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82188	-71.43251
3369	2011-07-30	83517	1:02:00	Bicycle	NA	1	FALSE	FALSE	1	WESTMINSTER ST	EMPIRE ST	7/30/11	One-Way Trafficway	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	Traffic Control Signal	3	1	Incapacitating	2	41.82097	-71.41532	FALSE	FALSE	Westminster Street and Empire Street, Providence, RI, USA	FALSE	-71.4153246	41.8209888	intersection	geometric_center	empire st & westminster st, providence, ri 02903, usa	NA	NA	NA	NA	41.8209888	-71.4153246	Med High	2.127314131	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82097	-71.41532
3367	2011-08-04	84466	22:11:00	Bicycle	NA	1	FALSE	FALSE	1	WESTMINSTER ST	MEMORIAL BOULEVARD	8/6/11	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Sidwswipe, Opposite Direction	No	Traffic Control Signal	2	1	Complains Of Pain	2	41.82529	-71.40895	FALSE	FALSE	Westminster Street and Memorial Boulevard, Providence, RI, USA	FALSE	-71.4088081	41.8253077	intersection	geometric_center	memorial blvd & westminster st, providence, ri 02903, usa	NA	NA	NA	NA	41.8253077	-71.4088081	Med High	11.93483387	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82529	-71.40895
3368	2011-08-04	87831	23:09:00	Pedestrian	1	NA	FALSE	FALSE	1	RESERVOIR AVE	ELMWOOD AVE	8/30/11	Unknown	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.79755	-71.42606	FALSE	FALSE	Reservoir Ave and Elmwood Ave, Providence, RI, USA	FALSE	-71.4258248	41.7971616	intersection	geometric_center	reservoir ave & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.7971616	-71.4258248	Med High	47.43827486	NA	NA	NA	NA	FALSE	FALSE	Raw	41.79755	-71.42606
3365	2011-08-05	84368	15:27:00	Bicycle	NA	1	FALSE	FALSE	1	EMPIRE ST	BROADWAY	8/5/11	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	No Controls	2	0	No Injury	2	41.82257	-71.41745	FALSE	FALSE	Empire Street and Broadway, Providence, RI, USA	FALSE	-71.4177642	41.822755	intersection	geometric_center	empire st & broadway, providence, ri 02903, usa	NA	NA	NA	NA	41.822755	-71.4177642	Med High	33.21897674	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82257	-71.41745
3366	2011-08-05	86232	1:32:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	MURPHY ST	8/18/11	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Sideswipe, Same Direction	No	No Controls	3	1	Complains Of Pain	NA	41.82373	-71.42884	FALSE	FALSE	Atwells Ave and Murphy Street, Providence, RI, USA	FALSE	-71.4286718	41.8237332	intersection	geometric_center	murphy st & atwells ave, providence, ri 02903, usa	NA	NA	NA	NA	41.8237332	-71.4286718	Med High	13.95762271	NA	NA	NA	NA	FALSE	FALSE	Raw	41.82373	-71.42884
3364	2011-08-06	84471	22:00:00	Pedestrian	1	NA	FALSE	FALSE	1	CHARLES ST	GILLEN ST	8/7/11	Two-Way , Not Divided	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	2	41.85245	-71.42032	FALSE	FALSE	Charles Street and Gillen Street, Providence, RI, USA	FALSE	-71.4190635	41.8529451	route	geometric_center	gillen st, providence, ri 02904, usa	Charles Street & Gillen Street, Providence, RI, USA	EjNDaGFybGVzIFN0cmVldCAmIEdpbGxlbiBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEglD8_St8UTkiRHDI_WdOKw57xIUChIJQ_P0rfFE5IkRwyP1nTisOe8aFAoSCXULzmzxROSJEctkyy41Vf0yGhQKEglVe4_D8UTkiRHqjY5w7qPPpSIKDeIu8hgVXiBu1Q	41.8524898	-71.4203042	41.8524898	-71.4203042	Med	4.620156303	NA	NA	NA	NA	FALSE	FALSE	Raw	41.85245	-71.42032
3363	2011-08-07	85354	9:49:00	Pedestrian	1	NA	FALSE	FALSE	1	INDIA ST	S MAIN ST	8/12/11	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	No	No Controls	3	1	Complains Of Pain	NA	41.81634	-71.39891	FALSE	FALSE	India Street and S Main Street, Providence, RI, USA	FALSE	-71.3982088	41.8167209	intersection	geometric_center	india st & s main st, providence, ri 02903, usa	NA	NA	NA	NA	41.8167209	-71.3982088	Med High	71.98749737	NA	NA	NA	NA	FALSE	FALSE	Raw	41.81634	-71.39891
