row_number,crash_report_id,best_coordinate_set,id_inaccurate_coords
1885,437609,Not yet determined,
1891,433523,Not yet determined,
1900,426919,Not yet determined,
1901,426774,Not yet determined,
1904,426160,Raw,geocoded set is wrong
1906,425862,Not yet determined,
1909,425583,Raw,geocoded set is wrong
1911,423317,Not yet determined,
1916,421443,Not yet determined,
1917,421468,Raw,geocoded set is wrong
1919,419624,Not yet determined,
1925,418488,Not yet determined,
1928,417498,Not yet determined,
1932,411801,Not yet determined,
1957,399180,Not yet determined,
1960,397707,Not yet determined,
1967,392336,Not yet determined,
1975,386732,Not yet determined,
1997,370786,Not yet determined,
2004,364804,Not yet determined,
2006,363955,Not yet determined,
2009,361569,Not yet determined,
2027,354023,Not yet determined,
2028,354151,Not yet determined,
2029,365259,Not yet determined,
2037,351677,Not yet determined,
2042,349949,Not yet determined,
2072,339896,Not yet determined,
2080,337902,Not yet determined,
2082,336415,Not yet determined,
2083,336607,Not yet determined,
2085,336139,Raw,geocoded set is wrong
2089,334971,Not yet determined,
2105,332315,Raw,geocoded set is wrong
2109,331337,Not yet determined,
2117,330284,Not yet determined,
2125,328418,Not yet determined,
2132,326998,Raw,geocoded set is wrong
2133,326227,Not yet determined,
2146,368056,Not yet determined,
2147,320485,Not yet determined,
2149,319378,Raw,geocoded set is wrong
2155,316770,Not yet determined,
2159,315705,Not yet determined,
2170,312873,Not yet determined,
2176,311396,Not yet determined,
2182,310769,Not yet determined,
2183,310918,Not yet determined,
2197,306962,Not yet determined,
2202,306407,Not yet determined,
2213,306183,Raw,geocoded set is wrong
2225,302606,Not yet determined,
2226,302634,Not yet determined,
2228,302206,Not yet determined,
2229,301745,Not yet determined,
2233,300440,Not yet determined,
2234,300118,Not yet determined,
2235,300169,Raw,geocoded set is wrong
2244,298900,Not yet determined,
2246,298773,Not yet determined,
2249,298108,Not yet determined,
2251,297614,Not yet determined,
2257,296732,Not yet determined,
2259,296247,Not yet determined,
2262,295789,Not yet determined,
2268,294895,Not yet determined,
2269,294653,Raw,geocoded set is wrong
2272,293763,Not yet determined,
2279,293136,Not yet determined,
2280,292816,Not yet determined,
2282,292707,Not yet determined,
2285,292615,Not yet determined,
2291,291820,Not yet determined,
2294,290411,Not yet determined,
2295,290285,Not yet determined,
2297,290325,Not yet determined,
2298,290118,Not yet determined,
2299,290165,Not yet determined,
2301,290037,Not yet determined,
2305,289689,Not yet determined,
2306,289467,Not yet determined,
2313,288925,Not yet determined,
2318,286428,Not yet determined,
2319,286083,Not yet determined,
2324,285780,Not yet determined,
2325,285817,Not yet determined,
2327,285327,Not yet determined,
2332,284120,Not yet determined,
2334,283806,Not yet determined,
2336,282968,Not yet determined,
2341,281069,Not yet determined,
2342,279448,Not yet determined,
2346,279552,Not yet determined,
2348,279029,Raw,geocoded set is wrong
2349,277949,Not yet determined,
2351,276724,Raw,geocoded set is wrong
2356,273321,Raw,geocoded set is wrong
2364,270880,Not yet determined,
2367,269721,Not yet determined,
2371,267258,Not yet determined,
2374,266950,Not yet determined,
2377,266142,Not yet determined,
2381,265560,Raw,geocoded set is wrong
2382,265641,Not yet determined,
2404,260619,Not yet determined,
2411,259622,Not yet determined,
2412,259757,Raw,geocoded set is wrong
2415,258945,Not yet determined,
2417,258452,Not yet determined,
2426,255852,Raw,geocoded set is wrong
2429,255809,Not yet determined,
2439,254979,Not yet determined,
2445,254213,Not yet determined,
2448,254109,Not yet determined,
2449,253872,Not yet determined,
2455,253441,Not yet determined,
2457,253196,Not yet determined,
2458,253214,Not yet determined,
2461,252985,Raw,geocoded set is wrong
2466,252502,Not yet determined,
2469,252120,Not yet determined,
2477,250925,Not yet determined,
2479,250607,Not yet determined,
2487,250012,Not yet determined,
2490,249914,Not yet determined,
2494,249615,Not yet determined,
2500,249074,Not yet determined,
2503,247437,Not yet determined,
2511,248384,Raw,geocoded set is wrong
2512,246030,Not yet determined,
2513,246104,Not yet determined,
2518,244818,Not yet determined,
2519,244545,Not yet determined,
2530,241995,Not yet determined,
2532,241527,Not yet determined,
2540,240180,Not yet determined,
2544,239514,Not yet determined,
2560,237504,Not yet determined,
2563,237184,Not yet determined,
2567,236139,Not yet determined,
2571,234336,Not yet determined,
2572,234184,Not yet determined,
2574,234525,Raw,geocoded set is wrong
2579,233382,Not yet determined,
2583,231977,Not yet determined,
2584,232707,Not yet determined,
2592,230204,Not yet determined,
2593,230225,Not yet determined,
2595,229714,Not yet determined,
2596,229731,Not yet determined,
2598,228898,Not yet determined,
2599,228428,Not yet determined,
2601,227839,Raw,geocoded set is wrong
2603,227103,Not yet determined,
2608,226095,Not yet determined,
2611,225796,Raw,geocoded set is wrong
2619,224913,Not yet determined,
2620,224931,Not yet determined,
2621,224933,Not yet determined,
2623,222876,Not yet determined,
2627,219699,Not yet determined,
2633,217573,Not yet determined,
2635,216626,Not yet determined,
2643,212386,Not yet determined,
2650,211425,Not yet determined,
2656,208942,Not yet determined,
2667,206589,Not yet determined,
2670,206345,Not yet determined,
2673,205541,Raw,geocoded set is wrong
2674,205727,Not yet determined,
2675,205728,Not yet determined,
2681,203712,Not yet determined,
2682,203405,Not yet determined,
2689,202380,Not yet determined,
2692,202021,Not yet determined,
2697,201271,Not yet determined,
2699,201209,Not yet determined,
2702,200422,Raw,geocoded set is wrong
2707,199987,Raw,geocoded set is wrong
2720,197951,Raw,geocoded set is wrong
2728,198226,Not yet determined,
2731,197348,Not yet determined,
2732,197390,Not yet determined,
2734,197272,Not yet determined,
2735,197120,Not yet determined,
2739,196850,Not yet determined,
2743,196174,Not yet determined,
2746,195894,Not yet determined,
2747,195900,Not yet determined,
2748,195659,Not yet determined,
2750,195560,Raw,geocoded set is wrong
2751,195562,Not yet determined,
2755,196273,Not yet determined,
2758,195093,Not yet determined,
2760,194775,Not yet determined,
2764,193895,Raw,geocoded set is wrong
2769,193267,Not yet determined,
2772,192587,Not yet determined,
2777,191689,Raw,geocoded set is wrong
2779,191119,Not yet determined,
2781,191054,Not yet determined,
2782,190851,Not yet determined,
2783,192063,Not yet determined,
2784,190799,Not yet determined,
2790,190180,Not yet determined,
2791,190242,Not yet determined,
2792,189637,Not yet determined,
2793,189698,Not yet determined,
2797,188981,Not yet determined,
2800,188968,Not yet determined,
2802,188830,Not yet determined,
2812,187952,Not yet determined,
2815,186966,Raw,geocoded set is wrong
2816,186787,Not yet determined,
2818,186225,Not yet determined,
2820,185986,Not yet determined,
2822,185863,Not yet determined,
2828,183933,Raw,geocoded set is wrong
2830,183496,Not yet determined,
2835,182191,Not yet determined,
2837,181663,Not yet determined,
2838,181473,Not yet determined,
2841,181653,Raw,geocoded set is wrong
2845,180742,Not yet determined,
2846,180771,Not yet determined,
2849,180345,Not yet determined,
2853,179281,Not yet determined,
2855,179246,Not yet determined,
2862,178332,Not yet determined,
2875,176372,Not yet determined,
2876,176392,Not yet determined,
2878,176091,Raw,geocoded set is wrong
2882,175589,Not yet determined,
2883,175845,Not yet determined,
2906,171350,Not yet determined,
2912,170600,Not yet determined,
2914,170251,Not yet determined,
2915,170287,Not yet determined,
2918,170086,Not yet determined,
2921,170973,Raw,geocoded set is wrong
2923,169206,Not yet determined,
2926,168576,Not yet determined,
2930,167619,Not yet determined,
2933,167091,Not yet determined,
2934,167092,Not yet determined,
2943,165201,Not yet determined,
2945,165885,Not yet determined,
2946,164684,Not yet determined,
2949,164302,Not yet determined,
2950,164257,Raw,geocoded set is wrong
2956,163371,Not yet determined,
2965,161968,Not yet determined,
2968,161746,Not yet determined,
2969,161908,Not yet determined,
2970,161621,Not yet determined,
2971,161632,Not yet determined,
2972,161646,Raw,geocoded set is wrong
2976,161035,Not yet determined,
2978,160300,Not yet determined,
2979,160081,Not yet determined,
2980,160201,Not yet determined,
2982,159346,Not yet determined,
2989,157706,Not yet determined,
2990,157737,Not yet determined,
2991,157510,Raw,geocoded set is wrong
2992,157455,Not yet determined,
2993,157338,Not yet determined,
3002,155781,Not yet determined,
3006,155499,Not yet determined,
3012,154371,Not yet determined,
3014,153670,Not yet determined,
3015,153452,Not yet determined,
3020,153461,Raw,geocoded set is wrong
3021,152551,Not yet determined,
3022,152376,Not yet determined,
3026,151754,Not yet determined,
3037,149375,Not yet determined,
3039,149086,Not yet determined,
3041,148968,Not yet determined,
3043,148592,Not yet determined,
3045,148519,Not yet determined,
3057,146141,Not yet determined,
3064,145141,Not yet determined,
3068,144438,Not yet determined,
3072,143693,Not yet determined,
3078,142147,Not yet determined,
3081,141356,Not yet determined,
3082,141145,Not yet determined,
3092,139794,Not yet determined,
3094,139498,Not yet determined,
3096,139202,Not yet determined,
3100,138388,Not yet determined,
3101,138398,Not yet determined,
3107,137573,Not yet determined,
3111,137173,Not yet determined,
3113,137554,Not yet determined,
3114,136616,Not yet determined,
3121,135826,Not yet determined,
3122,135827,Not yet determined,
3128,135039,Not yet determined,
3132,134819,Raw,geocoded set is wrong
3137,134209,Not yet determined,
3144,133049,Raw,geocoded set is wrong
3156,132047,Not yet determined,
3187,124383,Not yet determined,
3190,124603,Not yet determined,
3199,122281,Not yet determined,
3206,121281,Not yet determined,
3219,117961,Not yet determined,
3233,114979,Not yet determined,
3245,113435,Not yet determined,
3246,112343,Not yet determined,
3248,111363,Not yet determined,
3257,107031,Not yet determined,
3258,106786,Not yet determined,
3261,106624,Raw,geocoded set is wrong
3263,106320,Not yet determined,
3271,104381,Not yet determined,
3281,100945,Not yet determined,
3282,100629,Not yet determined,
3284,100379,Not yet determined,
3288,99781,Raw,geocoded set is wrong
3301,95118,Not yet determined,
3308,94511,Not yet determined,
3311,94220,Not yet determined,
3319,93099,Not yet determined,
3323,91655,Not yet determined,
3327,88804,Not yet determined,
3328,88918,Not yet determined,
3339,87987,Not yet determined,
3348,86802,Not yet determined,
3354,85977,Raw,geocoded set is wrong
3355,86099,Not yet determined,
3375,82508,Not yet determined,
3383,80760,Not yet determined,
3391,79408,Not yet determined,
3401,78303,Not yet determined,
3410,76193,Not yet determined,
3418,74171,Not yet determined,
3421,73024,Not yet determined,
3424,72888,Not yet determined,
3430,72030,Not yet determined,
3431,72003,Not yet determined,
3441,69589,Not yet determined,
3447,68829,Not yet determined,
3449,68794,Not yet determined,
3455,66957,Not yet determined,
3458,66338,Not yet determined,
3470,64073,Not yet determined,
3482,60564,Not yet determined,
3483,60663,Not yet determined,
3487,57888,Not yet determined,
3491,56483,Not yet determined,
3493,55504,Not yet determined,
3497,53699,Not yet determined,
3500,53467,Not yet determined,
3515,50592,Not yet determined,
3517,49980,Not yet determined,
3528,48829,Not yet determined,
3532,47229,Not yet determined,
3535,46691,Not yet determined,
3536,46390,Not yet determined,
3542,46067,Not yet determined,
3547,45382,Not yet determined,
3558,44212,Not yet determined,
3561,43672,Not yet determined,
3573,42517,Not yet determined,
3578,46119,Not yet determined,
3579,42161,Not yet determined,
3587,41713,Not yet determined,
3589,41337,Not yet determined,
3601,39997,Not yet determined,
3607,39060,Not yet determined,
3610,39201,Raw,geocoded set is wrong
3612,38735,Not yet determined,
3616,37205,Not yet determined,
3617,37211,Not yet determined,
3644,34393,Not yet determined,
3647,34098,Not yet determined,
3655,33672,Not yet determined,
3658,33296,Not yet determined,
3703,29564,Not yet determined,
3717,28440,Not yet determined,
3719,28335,Not yet determined,
3726,28067,Not yet determined,
3727,28087,Not yet determined,
3733,27810,Raw,geocoded set is wrong
3742,27783,Not yet determined,
3753,26348,Not yet determined,
3756,25990,Not yet determined,
3759,25406,Not yet determined,
3769,23997,Not yet determined,
3774,23859,Raw,geocoded set is wrong
3777,23573,Not yet determined,
3814,21672,Not yet determined,
