row_number	crash_date	crash_report_id	crash_time	type_of_collision	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_vehicles	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
3622	2025-02-04	921109	12:55:00	Vehicle - Pedestrian	Pedestrian	UNION AVE	POCASSET AVE	2025-02-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	1	NA	41.80639	-71.45714	FALSE	FALSE	Union Ave and Pocasset Ave, Providence, RI, USA	FALSE	-71.4571188	41.8064042	intersection	geometric_center	pocasset ave & union ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8064042	-71.4571188	2.3650072222569833
3629	2025-02-04	922852	11:00:00	Vehicle - Pedestrian	Pedestrian	700 HARTFORD AVE	KILLINGLY ST	2025-04-02	Two-Way , Not Divided	Dry	Daylight	Clear	Rear End(Front-to-Rear)	Yes, M/V and Driver Left Scene	Traffic Control Signal	3	0	No Injury	2	NA	41.81999	-71.46891	TRUE	FALSE	700 Hartford Ave, Providence, RI, USA	FALSE	-71.4683108	41.8196745	premise	rooftop	700 hartford ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8196745	-71.4683108	60.865197776783184
3632	2025-02-03	921123	13:50:00	Vehicle - Pedestrian	Pedestrian	S WATER ST	PLANET ST	2025-02-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	1	1	Complains Of Pain	1	NA	41.82283	-71.40647	FALSE	FALSE	S Water Street and Planet Street, Providence, RI, USA	FALSE	-71.40644309999999	41.8228364	intersection	geometric_center	s water st & planet st, providence, ri 02903, usa	NA	NA	NA	NA	41.8228364	-71.40644309999999	2.342497588226365
3671	2025-02-02	921052	11:54:00	Vehicle - Pedestrian	Pedestrian	ALUMNI AVE	HOPE ST	2025-02-03	Two-Way , Not Divided	Dry	Daylight	Clear	Unknown	Yes, M/V and Driver Left Scene	No Controls	3	0	Unknown	2	NA	41.83497	-71.39947	FALSE	FALSE	Alumni Ave and Hope Street, Providence, RI, USA	FALSE	-71.4014577	41.8348482	intersection	geometric_center	hope st & alumni ave, providence, ri 02906, usa	NA	NA	NA	NA	41.8348482	-71.4014577	165.41801604992114
3717	2025-01-31	921014	23:26:00	Vehicle - Pedestrian	Pedestrian	UNION AVE	PRISCILLA AVE	2025-02-01	Two-Way , Not Divided	Wet	Dark - Lighted	Rain	Sidwswipe, Opposite Direction	Yes, M/V and Driver Left Scene	Pavement Markings	2	0	No Injury	2	NA	41.80723	-71.44604	FALSE	FALSE	Union Ave and Priscilla Ave, Providence, RI, USA	FALSE	-71.4457559	41.8073133	intersection	geometric_center	priscilla ave & union ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8073133	-71.4457559	25.331874787465296
3733	2025-01-30	921005	20:57:00	Vehicle - Pedestrian	Pedestrian	63 ELMWOOD AVE	NA	2025-01-31	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle (Front - to - Side) Opposite Direction	Yes, M/V and Driver Left Scene	No Controls	3	0	No Injury	2	NA	NA	NA	TRUE	TRUE	63 Elmwood Ave, Providence, RI, USA	FALSE	-71.4235652	41.8110122	premise	rooftop	63 elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.8110122	-71.4235652	NA
3754	2025-01-29	920931	13:15:00	Vehicle - Pedestrian	Pedestrian	Washington St	Mathewson St	2025-01-29	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	1	2	NA	NA	FALSE	FALSE	Washington Street and Mathewson Street, Providence, RI, USA	FALSE	-71.4144312	41.8227996	route	geometric_center	mathewson st, providence, ri 02903, usa	Washington Street & Mathewson Street, Providence, RI, USA	EjlXYXNoaW5ndG9uIFN0cmVldCAmIE1hdGhld3NvbiBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmH4PGtE0XkiRFqkw2mbZyzaRIUChIJh-DxrRNF5IkRapMNpm2cs2kaFAoSCanazZwSReSJERoH0JajEjT2GhQKEgnB38eoE0XkiRGNIroMbvT9jiIKDT6x7RgVQPhu1Q	41.823059	-71.4147776	41.823059	-71.4147776	NA
3779	2025-01-28	920884	08:39:00	Vehicle - Pedestrian	Bicycle	college st	MEMORIAL BLVD	2025-01-28	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	1	Complains Of Pain	1	1	41.82545	-71.40839	FALSE	FALSE	College Street and Memorial Blvd, Providence, RI, USA	FALSE	-71.4134299	41.826406	route	geometric_center	memorial blvd, providence, ri 02903, usa	College Street & Memorial Blvd, Providence, RI, USA	EjNDb2xsZWdlIFN0cmVldCAmIE1lbW9yaWFsIEJsdmQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEglFd5NeFkXkiRE-ZeYWZ8ZcoxIUChIJRXeTXhZF5IkRPmXmFmfGXKMaFAoSCdHlyy0WReSJEfVO_Fs18GQ-GhQKEgn3LDO1FkXkiRGsznR5eOTavSIKDecI7hgVU-Jv1Q	41.8253031	-71.40878529999999	41.8253031	-71.40878529999999	36.64272717861833
3784	2025-01-28	920901	15:31:00	Vehicle - Pedestrian	Pedestrian	Lubec St	MANILA ST	2025-01-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	1	NA	41.85439	-71.44544	FALSE	FALSE	Lubec Street and Manila Street, Providence, RI, USA	FALSE	-71.44556519999999	41.8543842	intersection	geometric_center	manila st & lubec st, providence, ri 02904, usa	NA	NA	NA	NA	41.8543842	-71.44556519999999	10.401084581868435
3801	2025-01-27	920872	15:36:00	Vehicle - Pedestrian	Bicycle	WESTMINSTER ST	BRIDGHAM ST	2025-01-27	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Traffic Control Signal	3	0	No Injury	1	NA	41.8169	-71.42851	FALSE	FALSE	Westminster Street and Bridgham Street, Providence, RI, USA	FALSE	-71.4284152	41.8169563	intersection	geometric_center	bridgham st & westminster st, providence, ri 02909, usa	NA	NA	NA	NA	41.8169563	-71.4284152	10.05669120930498
3806	2025-01-27	920877	15:10:00	Vehicle - Pedestrian	Pedestrian	RANDALL ST	N MAIN ST	2025-01-27	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	1	NA	41.83834	-71.40953	FALSE	FALSE	Randall Street and N Main Street, Providence, RI, USA	FALSE	-71.3985314	41.86882250000001	intersection	geometric_center	randall st & main st, pawtucket, ri 02860, usa	NA	NA	NA	NA	41.86882250000001	-71.3985314	3513.7078509486773
3816	2025-01-27	920860	13:33:00	Vehicle - Pedestrian	Pedestrian	PAGE ST	WEYBOSSET ST	2025-01-27	One-Way Trafficway	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	3	0	Unknown	2	NA	41.82138	-71.41187	FALSE	FALSE	Page Street and Weybosset Street, Providence, RI, USA	FALSE	-71.4124258	41.8216379	intersection	geometric_center	weybosset st & page st, providence, ri 02903, usa	NA	NA	NA	NA	41.8216379	-71.4124258	54.315598163719876
3823	2025-01-26	920838	02:34:00	Vehicle - Pedestrian	Pedestrian	POE ST	SAYLES ST	2025-01-26	Two-Way , Not Divided	Wet	Dark - Lighted	Clear	Rear End(Front-to-Rear)	Yes, M/V and Driver Left Scene	No Controls	4	0	Unknown	4	NA	41.80532	-71.40375	FALSE	FALSE	Poe Street and Sayles Street, Providence, RI, USA	FALSE	-71.4035719	41.8048535	intersection	geometric_center	sayles st & poe st, providence, ri 02905, usa	NA	NA	NA	NA	41.8048535	-71.4035719	53.99249289173622
3824	2025-01-26	920839	11:36:00	Vehicle - Pedestrian	Pedestrian	1 PROVIDENCE PLACE	FRANCIS ST	2025-01-26	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	0	No Injury	1	NA	NA	NA	TRUE	FALSE	1 Providence Place, Providence, RI, USA	FALSE	-71.4162068	41.8278238	premise	rooftop	1 providence pl, providence, ri 02903, usa	NA	NA	NA	NA	41.8278238	-71.4162068	NA
3853	2025-01-24	920790	14:40:00	Vehicle - Pedestrian	Bicycle	DEXTER ST	WESTMINSTER ST	2025-01-24	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	2	1	Complains Of Pain	1	NA	41.81652	-71.43131	FALSE	FALSE	Dexter Street and Westminster Street, Providence, RI, USA	FALSE	-71.4313664	41.816619	intersection	geometric_center	dexter st & westminster st, providence, ri 02909, usa	NA	NA	NA	NA	41.816619	-71.4313664	11.972852365835612
3899	2025-01-23	920756	15:06:00	Vehicle - Pedestrian	Bicycle	BRANCH AVE EXIT	BRANCH AVE	2025-01-23	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Sideswipe, Same Direction	No	Traffic Control Signal	3	1	Complains Of Pain	1	NA	41.8464	-71.41175	FALSE	FALSE	Branch Ave Exit and Branch Ave, Providence, RI, USA	FALSE	-71.4222562	41.8512794	route	geometric_center	branch ave, providence, ri 02904, usa	NA	NA	NA	NA	41.8512794	-71.4222562	1026.6598681881044
3914	2025-01-22	920731	16:07:00	Vehicle - Pedestrian	Pedestrian	BROAD ST	EARLY ST	2025-01-22	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	4	2	Non-Incapacitating	1	NA	41.79536	-71.41114	FALSE	FALSE	Broad Street and Early Street, Providence, RI, USA	FALSE	-71.4112647	41.795491	intersection	geometric_center	early st & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.795491	-71.4112647	17.881928201068487
3998	2025-01-19	920616	14:57:00	Vehicle - Pedestrian	Bicycle	POTTERS AVE	BROAD ST	2025-01-19	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	5	1	Complains Of Pain	1	NA	41.80297	-71.41891	FALSE	FALSE	Potters Ave and Broad Street, Providence, RI, USA	FALSE	-71.4188999	41.80300099999999	intersection	geometric_center	potters ave & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.80300099999999	-71.4188999	3.5512229466517944
4021	2025-01-18	920594	17:43:00	Vehicle - Pedestrian	Pedestrian	10 MEMORIAL BLVD	FRANCIS ST	2025-01-18	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Lighted	Rain	Other	No	No Controls	2	1	Complains Of Pain	1	NA	41.82618	-71.41443	TRUE	FALSE	10 Memorial Blvd, Providence, RI, USA	FALSE	-71.414858	41.8265459	establishment	rooftop	10 memorial blvd # 103, providence, ri 02903, usa	NA	NA	NA	NA	41.8265459	-71.414858	54.03305282367028
4024	2025-01-18	920597	21:05:00	Vehicle - Pedestrian	Scooter	EXIT 22A (RT )	FRANCIS ST	2025-01-18	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	2	Complains Of Pain	1	NA	41.82577	-71.41527	FALSE	FALSE	Exit 22a (Rt ) and Francis Street, Providence, RI, USA	FALSE	-71.4152951	41.8283071	route	geometric_center	francis st, providence, ri, usa	NA	NA	NA	NA	41.8283071	-71.4152951	282.4363545169425
4034	2025-01-17	920670	07:20:00	Vehicle - Pedestrian	Pedestrian	SMITH ST	ACADEMY AVE	2025-01-21	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	Yes, M/V and Driver Left Scene	No Controls	1	0	Unknown	1	NA	41.84271	-71.44545	FALSE	FALSE	Smith Street and Academy Ave, Providence, RI, USA	FALSE	-71.4451576	41.842608	intersection	geometric_center	academy ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.842608	-71.4451576	26.77570166142105
4079	2025-01-15	920668	11:15:00	Vehicle - Pedestrian	Pedestrian	ANGELL ST	BROOK ST	2025-01-21	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	1	NA	41.82821	-71.39947	FALSE	FALSE	Angell Street and Brook Street, Providence, RI, USA	FALSE	-71.3994652	41.82822789999999	intersection	geometric_center	brook st & angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.82822789999999	-71.3994652	2.032008690257442
4093	2025-01-15	920438	09:00:00	Vehicle - Pedestrian	Pedestrian	ACADEMY AVE	SMITH ST	2025-01-15	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Same Direction	No	Traffic Control Signal	3	1	Complains Of Pain	1	NA	41.84258	-71.44515	FALSE	FALSE	Academy Ave and Smith Street, Providence, RI, USA	FALSE	-71.4451576	41.842608	intersection	geometric_center	academy ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.842608	-71.4451576	3.180030885353147
4097	2025-01-15	920460	16:00:00	Vehicle - Pedestrian	Pedestrian	RANDALL ST	N MAIN ST	2025-01-15	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Yield Signs	1	1	Complains Of Pain	1	NA	41.83766	-71.4097	FALSE	FALSE	Randall Street and N Main Street, Providence, RI, USA	FALSE	-71.3985314	41.86882250000001	intersection	geometric_center	randall st & main st, pawtucket, ri 02860, usa	NA	NA	NA	NA	41.86882250000001	-71.3985314	3590.475873762629
4116	2025-01-14	920371	08:39:00	Vehicle - Pedestrian	Pedestrian	SMITHFIELD AVE	SMITHFIELD AVE	2025-01-14	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Non-Incapacitating	1	NA	41.85501	-71.40489	FALSE	FALSE	Smithfield Ave and Smithfield Ave, Providence, RI, USA	FALSE	-71.4147465	41.8757169	route	geometric_center	smithfield ave, rhode island, usa	Smithfield Ave & Smithfield Road, North Providence, Providence, RI, USA	EkdTbWl0aGZpZWxkIEF2ZSAmIFNtaXRoZmllbGQgUm9hZCwgTm9ydGggUHJvdmlkZW5jZSwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCd222pRHROSJEQV0u74fEaQyEhQKEgndttqUR0TkiREFdLu-HxGkMhoUChIJVzuovUdE5IkRIDGFZ-Hnd7EaFAoSCcMsnEA8ROSJETpRC9SL6qaAIgoNLMjyGBX4OWnV	41.856414	-71.4524168	41.856414	-71.4524168	3943.7268110772598
