row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	year	month
89	2023-07-18	897039	11:42:00	Bicycle	NA	NA	FALSE	FALSE	2	CRANSTON STREET	BELLEVUE AVE	2023-07-18	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	No Controls	2	0	No Injury	NA	41.80882	-71.43412	FALSE	FALSE	Cranston Street and Bellevue Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80882	-71.43412	2023	July
90	2023-07-18	897051	18:15:00	Bicycle	NA	1	TRUE	FALSE	1	PINE ST	FRIENDSHIP ST	2023-07-18	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Pain Reported	NA	41.81638	-71.41587	FALSE	FALSE	Pine Street and Friendship Street, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.81638	-71.41587	2023	July
91	2023-07-20	897103	15:14:00	Pedestrian	1	NA	FALSE	FALSE	1	DUDLEY ST.	DUDLEY ST EXIT 19	2023-07-20	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	1	1	Pain Reported	NA	41.81079	-71.40731	FALSE	FALSE	Dudley St. and Dudley Street Exit 19, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.81079	-71.40731	2023	July
92	2023-07-21	897118	00:57:00	Pedestrian	1	NA	FALSE	FALSE	1	29 Elmwood Ave	Arch Street	2023-07-21	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	2	1	Incapacitating	NA	41.81196	-71.42265	TRUE	FALSE	29 Elmwood Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.81196	-71.42265	2023	July
93	2023-07-24	897268	17:46:00	Bicycle	NA	1	FALSE	FALSE	1	WESTMINSTER ST	SERVICE ROAD 7	2023-07-24	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Pain Reported	NA	41.81881	-71.41883	FALSE	FALSE	Westminster Street and Service Road 7, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.81881	-71.41883	2023	July
94	2023-07-24	897267	17:46:00	Bicycle	NA	1	TRUE	FALSE	1	CALDER ST	GREENWICH ST	2023-07-24	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Pain Reported	NA	41.80225	-71.42992	FALSE	FALSE	Calder Street and Greenwich Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80225	-71.42992	2023	July
95	2023-07-24	897252	10:00:00	Bicycle	NA	1	FALSE	FALSE	1	BROAD ST	BROAD ST	2023-07-24	Two-Way , Not Divided	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	Traffic Control Signal	3	1	Non-Incapacitating	NA	41.79217	-71.40717	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	NA	Raw	TRUE	TRUE	Raw	41.79217	-71.40717	2023	July
96	2023-07-26	897323	12:35:00	Bicycle	NA	1	FALSE	FALSE	1	ELMWOOD AVE	ARCH ST	2023-07-26	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	1	1	Pain Reported	NA	41.81207	-71.42257	FALSE	FALSE	Elmwood Ave and Arch Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.81207	-71.42257	2023	July
97	2023-07-26	897322	12:37:00	Other	1	NA	TRUE	FALSE	1	11 POINT ST	EDDY ST	2023-07-26	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	4	1	Pain Reported	NA	41.80523	-71.58683	TRUE	FALSE	11 Point Street, Providence, RI, USA	NA	Geocoded	TRUE	FALSE	Geocoded	NA	NA	2023	July
98	2023-07-26	897328	12:18:00	Pedestrian	1	NA	FALSE	FALSE	1	HUNTINGTON AVE	STATE HWY 10 S	2023-07-26	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Pain Reported	NA	41.80462	-71.44098	FALSE	FALSE	Huntington Ave and State Hwy 10 S, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.80462	-71.44098	2023	July
99	2023-07-27	897379	11:52:00	Bicycle	NA	1	FALSE	FALSE	1	PROMENADE ST	PARK ST	2023-07-27	One-Way Trafficway	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	3	1	Pain Reported	NA	41.82786	-71.41768	FALSE	FALSE	Promenade Street and Park Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.82786	-71.41768	2023	July
100	2023-07-29	898461	21:31:00	Bicycle	NA	1	FALSE	FALSE	1	PEKIN STREET	CHALKSTONE AVE	2023-07-29	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	0	No Injury	NA	41.83521	-71.42565	FALSE	FALSE	Pekin Street and Chalkstone Ave, Providence, RI, USA	NA	Geocoded	TRUE	FALSE	Geocoded	NA	NA	2023	July
101	2023-07-30	898479	10:50:00	Pedestrian	1	NA	FALSE	FALSE	1	DORRANCE ST	EXCHANGE TER	2023-07-30	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Pain Reported	NA	41.8248	-71.41404	FALSE	FALSE	Dorrance Street and Exchange Ter, Providence, RI, USA	NA	Neither	TRUE	FALSE	Neither	41.824915	-71.414537	2023	July
102	2023-08-01	898550	16:06:00	Bicycle	NA	1	FALSE	FALSE	1	BROADWAY	BRADFORD ST	2023-08-01	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Pain Reported	2	NA	NA	FALSE	FALSE	Broadway and Bradford Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	NA	NA	2023	August
103	2023-08-04	898653	17:38:00	Bicycle	NA	1	FALSE	FALSE	1	N MAIN ST	SMITHFIELD AVE	2023-08-04	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dawn	Clear	Sideswipe, Same Direction	No	Flashing Traffic Control Signal	3	1	Pain Reported	NA	41.85336	-71.40114	FALSE	FALSE	N Main Street and Smithfield Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.85336	-71.40114	2023	August
104	2023-08-04	898635	07:31:00	Bicycle	NA	1	TRUE	FALSE	1	741 RIVER AVE	REGENT AVE	2023-08-04	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	No	No Controls	7	1	Pain Reported	NA	41.83017	-71.43678	TRUE	FALSE	741 River Ave, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.83017	-71.43678	2023	August
105	2023-08-05	898691	16:04:00	Pedestrian	1	NA	FALSE	FALSE	1	SALISBURY ST	PLAIN ST	2023-08-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	2	1	Pain Reported	NA	41.80586	-71.40969	FALSE	FALSE	Salisbury Street and Plain Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80586	-71.40969	2023	August
106	2023-08-05	898680	11:10:00	Pedestrian	1	NA	TRUE	FALSE	1	PLAINFIELD ST	ATWOOD ST	2023-08-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Pain Reported	NA	41.81608	-71.44488	FALSE	FALSE	Plainfield Street and Atwood Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.81608	-71.44488	2023	August
107	2023-08-06	898721	13:14:00	Bicycle	NA	1	FALSE	FALSE	1	DORRANCE ST	WASHINGTON ST	2023-08-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Pain Reported	NA	41.82466	-71.41322	FALSE	FALSE	Dorrance Street and Washington Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.82466	-71.41322	2023	August
