row_number,crash_date,crash_report_id,crash_time,collision_type,count_pedestrian,count_bicycle,scooter,wheel_chair,number_of_vehicles,street_or_highway,nearest_intersection,report_date,type_of_roadway,road_surface_condition,light_condition,weather_condition,manner_of_impact,hit_and_run,traffic_control,person_count,injury_count,most_serious_injury,number_of_lanes,lat_raw,lon_raw,has_st_number,is_intersection_null,address_sent_to_geocoder,is_address_blank,lon_api_first_try,lat_api_first_try,type,loctype,address_returned_by_geocoder,address_returned_by_autocomplete,place_ids_autocompleted,lat_api_second_try,lon_api_second_try,lat_api_best,lon_api_best,api_coord_conf,distance_btwn_coords_meters
1346,2018-05-05,727635,14:15:00,Pedestrian,1,NA,FALSE,FALSE,1,HOSPITAL ST,POINT ST,05-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,No Controls,3,1,Complains Of Pain,NA,41.81583,-71.40961,FALSE,FALSE,"Hospital Street and Point Street, Providence, RI, USA",FALSE,-71.40949789999999,41.8156623,intersection,geometric_center,"point st & hospital st, providence, ri 02903, usa",NA,NA,NA,NA,41.8156623,-71.40949789999999,Med High,20.85672337795595
1347,2018-05-05,727662,21:55:00,Pedestrian,1,NA,FALSE,FALSE,1,MANTON AVE,LYNCH ST,05-May-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,NA,41.82415,-71.4522,FALSE,FALSE,"Manton Ave and Lynch Street, Providence, RI, USA",FALSE,-71.45234049999999,41.8242696,intersection,geometric_center,"lynch st & manton ave, providence, ri 02909, usa",NA,NA,NA,NA,41.8242696,-71.45234049999999,Med High,17.694620109711163
1348,2018-05-04,727129,09:01:00,Pedestrian,1,NA,FALSE,FALSE,1,STEPHEN HOPKINS COURT,WILLIAM ELLERY PL,04-May-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,NA,41.83745,-71.40714,FALSE,FALSE,"Stephen Hopkins Court and William Ellery Pl, Providence, RI, USA",FALSE,-71.4072824,41.8379839,intersection,geometric_center,"william ellery pl & stephen hopkins ct, providence, ri 02904, usa",NA,NA,NA,NA,41.8379839,-71.4072824,Med High,60.59554509227921
1349,2018-05-04,727577,16:19:00,Pedestrian,1,NA,FALSE,FALSE,1,CHARLES ST,CORLISS ST,04-May-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Stop Signs,2,1,Complains Of Pain,NA,41.83806,-71.41452,FALSE,FALSE,"Charles Street and Corliss Street, Providence, RI, USA",FALSE,-71.41448849999999,41.8380809,intersection,geometric_center,"charles st & corliss st, providence, ri 02904, usa",NA,NA,NA,NA,41.8380809,-71.41448849999999,Med High,3.49830648703375
1350,2018-05-03,726983,15:16:00,Pedestrian,1,NA,FALSE,FALSE,1,S MAIN ST,COLLEGE ST,03-May-18,One-Way Trafficway,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,4,1,Non-Incapacitating,2,41.82568,-71.40787,FALSE,FALSE,"S Main Street and College Street, Providence, RI, USA",FALSE,-71.4078251,41.8256787,intersection,geometric_center,"s main st & college st, providence, ri 02903, usa",NA,NA,NA,NA,41.8256787,-71.4078251,Med High,3.7273886125497926
1351,2018-05-01,726741,11:45:00,Pedestrian,1,NA,FALSE,FALSE,1,CHARLES ST,CHARLES ST,01-May-18,Unknown,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,NA,41.84688,-71.41936,FALSE,FALSE,"Charles Street and Charles Street, Providence, RI, USA",FALSE,-71.419539,41.8474982,route,geometric_center,"charles st, providence, ri, usa",NA,NA,NA,NA,41.8474982,-71.419539,Med,70.400341845975
1352,2018-04-30,726621,12:42:00,Pedestrian,1,NA,FALSE,FALSE,1,62 DUDLEY ST,NA,30-Apr-18,Unknown,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.80731,-71.40725,TRUE,TRUE,"62 Dudley Street, Providence, RI, USA",FALSE,-71.40962,41.8101086,street_address,rooftop,"62 dudley st, providence, ri 02905, usa",NA,NA,NA,NA,41.8101086,-71.40962,High,368.41232795270815
1353,2018-04-28,726550,12:37:00,Pedestrian,1,NA,FALSE,FALSE,1,BROAD ST,OXFORD ST,29-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.79962,-71.41642,FALSE,FALSE,"Broad Street and Oxford Street, Providence, RI, USA",FALSE,-71.4098094,41.8023702,route,geometric_center,"oxford st, providence, ri 02905, usa","Broad Street & Oxford Street, Providence, RI, USA",EjFCcm9hZCBTdHJlZXQgJiBPeGZvcmQgU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJh-FuDohP5IkRI2IsCmv-T0ESFAoSCYfhbg6IT-SJESNiLApr_k9BGhQKEgmD3n3VjE_kiREsosqTmEsIoxoUChIJGaMJqWFF5IkRUr1E8WrWZNciCg0WPuoYFfqPbtU,41.8004502,-71.417447,41.8004502,-71.417447,Med,125.71616486477652
1354,2018-04-27,726283,11:00:00,Pedestrian,1,NA,FALSE,FALSE,1,FULTON ST,DORRANCE ST,27-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,5,1,Complains Of Pain,NA,41.82413,-71.41236,FALSE,FALSE,"Fulton Street and Dorrance Street, Providence, RI, USA",FALSE,-71.4113407,41.8233534,route,geometric_center,"dorrance st, providence, ri 02903, usa","Fulton Street & Dorrance Street, Providence, RI, USA",EjRGdWx0b24gU3RyZWV0ICYgRG9ycmFuY2UgU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJf0Y9-RNF5IkRa402C95i2d0SFAoSCX9GPfkTReSJEWuNNgveYtndGhQKEgmV_SepFkXkiRFnZiyNOi8BiRoUChIJpfpicxRF5IkR4zxQTjprQnQiCg1O2-0YFQlYb9U,41.8241358,-71.4123255,41.8241358,-71.4123255,Med,2.9338646577899943
1355,2018-04-26,725871,11:15:00,Pedestrian,1,NA,FALSE,FALSE,1,PLAINFIELD ST,EDNA ST,26-Apr-18,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Other,No,Traffic Control Signal,3,1,Complains Of Pain,NA,41.81592,-71.44513,FALSE,FALSE,"Plainfield Street and Edna Street, Providence, RI, USA",FALSE,-71.4455457,41.8156785,intersection,geometric_center,"plainfield st & edna st, providence, ri 02909, usa",NA,NA,NA,NA,41.8156785,-71.4455457,Med High,43.72878653843408
