row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
21	2023-04-29	893449	00:53:00	Pedestrian	1	NA	FALSE	FALSE	1	289 Atwells Avenue	CROUT ST	2023-04-29	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	1	Incapacitating	NA	41.82364	-71.42753	TRUE	FALSE	289 Atwells Avenue, Providence, RI, USA	FALSE	-71.42753859999999	41.823888	premise	rooftop	289 atwells ave, providence, ri 02903, usa	NA	NA	NA	NA	41.823888	-71.42753859999999	27.616450068599562
22	2023-04-29	893472	21:53:00	Pedestrian	1	NA	FALSE	FALSE	1	EXCHANGE TERR	DORRANCE STREET	2023-04-29	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Incapacitating	NA	41.8248	-71.41439	FALSE	FALSE	Exchange Terr and Dorrance Street, Providence, RI, USA	FALSE	-71.4113407	41.8233534	route	geometric_center	dorrance st, providence, ri 02903, usa	NA	NA	NA	NA	41.8233534	-71.4113407	299.86329417894945
23	2023-04-29	893464	17:33:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	CAHIR ST	2023-04-29	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	6	1	Complains Of Pain	NA	41.81692	-71.41795	FALSE	FALSE	Broad Street and Cahir Street, Providence, RI, USA	FALSE	-71.41789229999999	41.8169459	intersection	geometric_center	broad st & cahir st, providence, ri 02903, usa	NA	NA	NA	NA	41.8169459	-71.41789229999999	5.588231094641271
24	2023-04-30	893480	01:51:00	Pedestrian	1	NA	FALSE	FALSE	1	OAKLAND AVE	SMITH ST	2023-04-30	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Non-Incapacitating	NA	41.83621	-71.43046	FALSE	FALSE	Oakland Ave and Smith Street, Providence, RI, USA	FALSE	-71.43045500000001	41.8362474	intersection	geometric_center	oakland ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.8362474	-71.43045500000001	4.183951096890541
25	2023-05-05	893692	17:15:00	Bicycle	1	NA	FALSE	FALSE	1	Weybosset Street	PECK ST	2023-05-07	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Non-Incapacitating	NA	41.82348	-71.4104	FALSE	FALSE	Weybosset Street and Peck Street, Providence, RI, USA	FALSE	-71.4102702	41.823574	intersection	geometric_center	weybosset st & peck st, providence, ri 02903, usa	NA	NA	NA	NA	41.823574	-71.4102702	15.014585861897624
26	2023-05-06	893668	16:47:00	Bicycle	NA	NA	FALSE	FALSE	3	POINT ST	EDDY ST	2023-05-06	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	No Controls	5	4	Complains Of Pain	NA	41.81719	-71.40548	FALSE	FALSE	Point Street and Eddy Street, Providence, RI, USA	FALSE	-71.4064202	41.816823	intersection	geometric_center	point st & eddy st, providence, ri 02903, usa	NA	NA	NA	NA	41.816823	-71.4064202	88.05394224023057
27	2023-05-06	893676	00:46:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD STREET	CAHIR ST	2023-05-07	Two-Way , Not Divided	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Complains Of Pain	NA	41.81662	-71.41861	FALSE	FALSE	Broad Street and Cahir Street, Providence, RI, USA	FALSE	-71.41789229999999	41.8169459	intersection	geometric_center	broad st & cahir st, providence, ri 02903, usa	NA	NA	NA	NA	41.8169459	-71.41789229999999	69.72510856638098
28	2023-05-08	893737	11:56:00	Bicycle	NA	1	FALSE	FALSE	1	583 BROAD STREET	DARTMOUTH AVE	2023-05-08	One-Way Trafficway	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	No Controls	2	1	Non-Incapacitating	NA	41.80838	-71.42061	TRUE	FALSE	583 Broad Street, Providence, RI, USA	FALSE	-71.42079509999999	41.808268	street_address	rooftop	583 broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.808268	-71.42079509999999	19.78220742936041
29	2023-05-10	893784	12:09:00	Pedestrian	2	NA	FALSE	FALSE	1	DUDLEY ST	DUDLEY ST EXIT 19	2023-05-10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	2	Complains Of Pain	NA	41.8108	-71.40727	FALSE	FALSE	Dudley Street and Dudley St Exit 19, Providence, RI, USA	FALSE	-71.4135956	41.8099609	route	geometric_center	dudley st, providence, ri, usa	NA	NA	NA	NA	41.8099609	-71.4135956	533.0984229527637
30	2023-05-10	893798	21:10:00	Bicycle	NA	1	FALSE	FALSE	1	Atwells Ave	Marcello Street	2023-05-10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.82393	-71.43161	FALSE	FALSE	Atwells Ave and Marcello Street, Providence, RI, USA	FALSE	-71.43162339999999	41.8239398	intersection	geometric_center	marcello st & atwells ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8239398	-71.43162339999999	1.5574911003955072
